GEMS_Station_Number,Sample_Date,Sample_Time,Depth,Parameter_Code,Analysis_Method_Code,Value,Unit,Data_Quality
DEU01620,2/4/2008,10:30,0,TP,0,0.058,mg/l,Fair
DEU01620,2/4/2008,10:30,0,TEMP,0,2.9,°C,Fair
DEU01620,8/8/2011,9:00,0,METRIBUZIN,0,0.05,µg/l,Fair
DEU01620,8/8/2011,9:00,0,24D,0,0.0011,µg/l,Fair
DEU01620,8/8/2011,9:00,0,ISOPROTURON,0,0.01,µg/l,Fair
DEU01620,8/8/2011,9:00,0,PCE,0,0.002,µg/l,Fair
DEU01620,8/8/2011,9:00,0,TCE,0,0.01,µg/l,Fair
DEU01620,8/8/2011,9:00,0,MECL,0,0.3,µg/l,Fair
DEU01620,8/8/2011,9:00,0,TN,0,6.3,mg/l,Fair
DEU01620,8/7/2011,22:00,0,O2-Dis,0,8.69,mg/l,Fair
DEU01620,10/10/2011,9:00,0,BROMOXYNIL,0,0.0021,µg/l,Fair
DEU01620,10/10/2011,9:00,0,BAP,0,0.003,µg/l,Fair
DEU01620,10/10/2011,9:00,0,METRIBUZIN,0,0.05,µg/l,Fair
DEU01620,10/10/2011,9:00,0,PROMETRYN,0,0.01,µg/l,Fair
DEU01620,10/10/2011,9:00,0,LINURON,0,0.01,µg/l,Fair
DEU01620,10/10/2011,9:00,0,BENZENE,0,0.3,µg/l,Fair
DEU01620,10/10/2011,9:00,0,PCE,0,0.002,µg/l,Fair
DEU01620,10/10/2011,9:00,0,TCE,0,0.01,µg/l,Fair
DEU01620,10/10/2011,9:00,0,TCMA,0,0.058,µg/l,Fair
DEU01620,12/5/2011,7:45,0,TRP,0,0.0025,mg/l,Fair
DEU01620,12/5/2011,7:45,0,SO4-Tot,0,43.4,mg/l,Fair
DEU01620,2/13/2012,8:15,0,Cl-Tot,0,58.6,mg/l,Fair
DEU01620,2/13/2012,8:15,0,TRP,0,0.037,mg/l,Fair
DEU01620,2/13/2012,8:15,0,TP,0,0.0515,mg/l,Fair
DEU01620,2/13/2012,8:15,0,pH,0,7.6,---,Fair
DEU01620,4/16/2012,7:00,0,SCCP,0,0.15,µg/l,Fair
DEU01620,4/16/2012,7:00,0,AZINPHOS-ETHYL,0,0.02,µg/l,Fair
DEU01620,4/16/2012,7:00,0,GUTHION,0,0.02,µg/l,Fair
DEU01620,4/16/2012,7:00,0,BZGHIPYL,0,0.0006,µg/l,Fair
DEU01620,4/16/2012,7:00,0,PARATHION,0,0.1,µg/l,Fair
DEU01620,4/16/2012,6:30,40,pH,0,7.4,---,Fair
DEU01620,4/16/2012,6:30,40,TP,0,0.0426,mg/l,Fair
DEU01620,4/16/2012,6:30,0,TRP,0,0.01,mg/l,Fair
DEU01620,6/11/2012,7:05,0,4TOTPHL,0,0.015,µg/l,Fair
DEU01620,6/11/2012,7:05,0,AZINPHOS-ETHYL,0,0.02,µg/l,Fair
DEU01620,6/11/2012,7:05,0,DICHLORVOS,0,0.02,µg/l,Fair
DEU01620,6/11/2012,7:05,0,BAP,0,0.003,µg/l,Fair
DEU01620,6/11/2012,6:35,40,O2-Dis,0,4.22,mg/l,Fair
DEU01620,6/11/2012,6:35,40,NO3N,0,5.47,mg/l,Fair
DEU01620,6/11/2012,6:35,40,Cl-Tot,0,58.4,mg/l,Fair
DEU01620,6/11/2012,6:35,0,O2-Dis,0,10.5,mg/l,Fair
DEU01620,6/11/2012,6:35,0,TEMP,0,17.6,°C,Fair
DEU01620,6/11/2012,6:35,0,TP,0,0.0154,mg/l,Fair
DEU01620,6/11/2012,6:35,0,Cl-Tot,0,60.2,mg/l,Fair
DEU01620,8/14/2012,7:05,0,MALATHION,0,0.02,µg/l,Fair
DEU01620,8/14/2012,7:05,0,GUTHION,0,0.02,µg/l,Fair
DEU01620,8/14/2012,7:05,0,DICHLORVOS,0,0.02,µg/l,Fair
DEU01620,8/14/2012,7:05,0,CHLORPYRIFOS,0,0.002,µg/l,Fair
DEU01620,8/14/2012,7:05,0,PHNH,0,0.003,µg/l,Fair
DEU01620,8/14/2012,6:30,40,NH4N,0,0.019,mg/l,Fair
DEU01620,8/14/2012,6:30,0,SO4-Tot,0,74.6,mg/l,Fair
DEU01620,8/14/2012,6:30,0,pH,0,9.04,---,Fair
DEU01620,8/14/2012,6:30,0,TN,0,4.8,mg/l,Fair
DEU01620,10/8/2012,7:05,0,CHLORFENVINPHOS,0,0.002,µg/l,Fair
DEU01620,10/8/2012,7:05,0,BZKFLA,0,0.003,µg/l,Fair
DEU01620,10/8/2012,7:05,0,BZBFLA,0,0.003,µg/l,Fair
DEU01620,10/8/2012,6:35,0,NO3N,0,3.61,mg/l,Fair
DEU01620,10/8/2012,6:35,0,Cl-Tot,0,70.1,mg/l,Fair
DEU01620,10/8/2012,6:35,40,TP,0,0.038,mg/l,Fair
DEU01620,10/8/2012,6:35,40,pH,0,7.45,---,Fair
DEU01620,12/10/2012,7:30,0,TEMP,0,6.3,°C,Fair
DEU01620,12/10/2012,7:30,0,pH,0,7.29,---,Fair
DEU01620,12/10/2012,7:30,0,Cl-Tot,0,76,mg/l,Fair
DEU01620,2/11/2013,6:55,0,TP,0,0.0517,mg/l,Fair
DEU01620,2/11/2013,6:55,0,TRP,0,0.036,mg/l,Fair
DEU01620,4/9/2013,7:15,40,NH4N,0,0.33,mg/l,Fair
DEU01620,4/9/2013,7:15,40,TP,0,0.0431,mg/l,Fair
DEU01620,4/9/2013,7:15,25,TN,0,7,mg/l,Fair
DEU01620,4/9/2013,7:15,25,O2-Dis,0,9.52,mg/l,Fair
DEU01620,4/9/2013,7:15,0,TP,0,0.0417,mg/l,Fair
DEU01620,4/9/2013,7:45,0,HCB,0,4.00E-05,µg/l,Fair
DEU01620,4/9/2013,7:45,0,44DDT,0,0.0003,µg/l,Fair
DEU01620,4/9/2013,7:45,0,24DP,0,0.001,µg/l,Fair
DEU01620,4/9/2013,7:45,0,HEXAZINONE,0,0.01,µg/l,Fair
DEU01620,4/9/2013,7:45,0,BENTAZON,0,0.0028,µg/l,Fair
DEU01620,4/9/2013,7:45,0,PHNH,0,0.003,µg/l,Fair
DEU01620,4/9/2013,7:45,0,DIFLUFENICAN,0,0.005,µg/l,Fair
DEU01620,4/9/2013,7:45,0,CHLORPYRIFOS,0,0.02,µg/l,Fair
DEU01620,4/9/2013,7:45,0,DICHLORVOS,0,0.005,µg/l,Fair
DEU01620,4/9/2013,7:45,0,AZINPHOS-ETHYL,0,0.02,µg/l,Fair
DEU01620,4/9/2013,7:45,0,MALATHION,0,0.002,µg/l,Fair
DEU01620,4/9/2013,7:45,0,DIMETHOATE,0,0.002,µg/l,Fair
DEU01620,6/10/2013,7:00,0,DCMU,0,0.054,µg/l,Fair
DEU01620,6/10/2013,7:00,0,LINURON,0,0.01,µg/l,Fair
DEU01620,6/10/2013,7:00,0,TERBUTHYLAZINE,0,0.01,µg/l,Fair
DEU01620,6/10/2013,7:00,0,AMETRYN,0,0.01,µg/l,Fair
DEU01620,6/10/2013,7:00,0,BZKFLA,0,0.003,µg/l,Fair
DEU01620,6/10/2013,6:30,0,TRP,0,0.01,mg/l,Fair
DEU01620,6/10/2013,6:30,0,SO4-Tot,0,47.1,mg/l,Fair
DEU01620,6/10/2013,6:30,40,Cl-Tot,0,55.2,mg/l,Fair
DEU01620,6/10/2013,6:30,25,SO4-Tot,0,41.5,mg/l,Fair
DEU01620,6/10/2013,6:30,25,TEMP,0,10.2,°C,Fair
DEU01620,8/5/2013,7:00,0,CCl4,0,0.005,µg/l,Fair
DEU01620,8/5/2013,7:00,0,PCE,0,0.005,µg/l,Fair
DEU01620,8/5/2013,7:00,0,PCP,0,0.05,µg/l,Fair
DEU01620,8/5/2013,7:00,0,PARATHION,0,0.05,µg/l,Fair
DEU01620,8/5/2013,7:00,0,DCMU,0,0.056,µg/l,Fair
DEU01620,8/5/2013,7:00,0,ATRAZINE,0,0.01,µg/l,Fair
DEU01620,8/5/2013,7:00,0,LINURON,0,0.01,µg/l,Fair
DEU01620,8/5/2013,7:00,0,HEXAZINONE,0,0.01,µg/l,Fair
DEU01620,8/5/2013,7:00,0,AMETRYN,0,0.01,µg/l,Fair
DEU01620,8/5/2013,7:00,0,FLAH,0,0.003,µg/l,Fair
DEU01620,8/5/2013,7:00,0,NPTH,0,0.006,µg/l,Fair
DEU01620,8/5/2013,7:00,0,PHNH,0,0.0037,µg/l,Fair
DEU01620,8/5/2013,7:00,0,GUTHION,0,0.002,µg/l,Fair
DEU01620,8/5/2013,7:00,0,DDT,0,0.0006,µg/l,Fair
DEU01620,8/5/2013,6:30,0,Cl-Tot,0,47.9,mg/l,Fair
DEU01620,8/5/2013,6:30,0,TEMP,0,24.3,°C,Fair
DEU01620,8/5/2013,6:30,25,SO4-Tot,0,41.2,mg/l,Fair
DEU01620,8/5/2013,6:30,40,Cl-Tot,0,37.3,mg/l,Fair
DEU01620,8/5/2013,6:30,40,TP,0,0.0511,mg/l,Fair
DEU01620,8/5/2013,6:30,40,TN,0,5.4,mg/l,Fair
DEU01620,8/5/2013,6:30,40,TEMP,0,9.8,°C,Fair
DEU01620,8/5/2013,6:30,40,pH,0,7.13,---,Fair
DEU01620,8/5/2013,6:30,40,NH4N,0,0.023,mg/l,Fair
DEU01620,10/7/2013,6:15,25,pH,0,7.33,---,Fair
DEU01620,10/7/2013,6:15,25,Cl-Tot,0,43.9,mg/l,Fair
DEU01620,10/7/2013,6:15,40,NO3N,0,4.62,mg/l,Fair
DEU01620,10/7/2013,6:15,40,pH,0,7.1,---,Fair
DEU01620,10/7/2013,6:15,40,TEMP,0,10.9,°C,Fair
DEU01620,10/7/2013,6:15,40,NH4N,0,0.019,mg/l,Fair
DEU01620,10/7/2013,6:15,0,DDT,0,0.0006,µg/l,Fair
DEU01620,10/7/2013,6:15,0,MALATHION,0,0.002,µg/l,Fair
DEU01620,10/7/2013,6:15,0,ANTHRACENE,0,0.003,µg/l,Fair
DEU01620,10/7/2013,6:15,0,METRIBUZIN,0,0.045,µg/l,Fair
DEU01620,10/7/2013,6:15,0,SIMAZINE,0,0.01,µg/l,Fair
DEU01620,10/7/2013,6:15,0,ALACHLOR,0,0.0003,µg/l,Fair
DEU01620,10/7/2013,6:15,0,TCMA,0,0.022,µg/l,Fair
DEU01620,10/7/2013,6:15,0,MECL,0,0.025,µg/l,Fair
DEU01620,12/2/2013,10:00,0,NO3N,0,4.07,mg/l,Fair
DEU01620,12/2/2013,10:00,0,TP,0,0.0519,mg/l,Fair
DEU01620,12/2/2013,10:00,0,TRP,0,0.031,mg/l,Fair
DEU01620,2/9/2014,23:00,0,pH,0,7.38,---,Fair
DEU01620,2/9/2014,23:00,0,TN,0,5.1,mg/l,Fair
DEU01620,2/9/2014,23:00,0,TRP,0,0.042,mg/l,Fair
DEU01620,4/6/2014,22:00,25,TN,0,5.8,mg/l,Fair
DEU01620,4/6/2014,22:00,0,O2-Dis,0,19.2,mg/l,Fair
DEU01620,4/6/2014,22:00,0,TEMP,0,10.8,°C,Fair
DEU01620,4/6/2014,22:00,0,TN,0,5.1,mg/l,Fair
DEU01620,4/6/2014,22:00,0,TRP,0,0.015,mg/l,Fair
DEU01620,4/6/2014,22:00,0,SO4-Tot,0,72.4,mg/l,Fair
DEU01620,6/1/2014,22:00,25,TP,0,0.0508,mg/l,Fair
DEU01620,6/1/2014,22:00,25,NH4N,0,0.017,mg/l,Fair
DEU01620,6/1/2014,22:00,25,NO3N,0,4.99,mg/l,Fair
