time,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2023-09-19,19.0,16.0,23.0,0.0,0.0,219.0,12.0,45.7,1014.4,479.0
2023-09-20,19.6,16.0,26.0,0.0,0.0,160.0,9.3,34.2,1011.7,593.0
2023-09-21,19.7,15.0,25.0,9.9,0.0,159.0,8.7,58.3,1002.5,90.0
2023-09-22,16.0,13.0,20.0,0.6,0.0,184.0,11.0,55.8,1005.0,332.0
2023-09-23,14.0,10.0,19.0,0.1,0.0,211.0,8.0,28.8,1016.9,365.0
2023-09-24,13.8,7.0,21.0,0.0,0.0,119.0,5.0,24.1,1025.8,690.0
2023-09-25,14.6,7.0,22.0,0.0,0.0,130.0,5.9,20.0,1023.8,
2023-09-26,15.3,9.3,23.4,0.0,,14.0,4.6,13.0,1021.6,
2023-09-27,17.4,10.8,24.8,0.0,,122.0,5.4,14.8,1019.6,
2023-09-28,18.3,13.5,24.4,,,179.0,7.9,24.1,1017.7,
2023-09-29,18.9,14.2,25.1,,,188.0,8.5,25.9,1020.8,
